iter	Passed	Remaining
574	38765	28652
575	38828	28581
576	38888	28509
577	38955	28441
578	39015	28368
579	39084	28302
580	39147	28232
581	39210	28161
582	39271	28089
583	39331	28017
584	39391	27944
585	39455	27874
586	39510	27798
587	39569	27725
588	39627	27652
589	39686	27579
590	39749	27508
591	39805	27433
592	39864	27360
593	39924	27288
594	39982	27215
595	40043	27143
596	40105	27072
597	40164	27000
598	40223	26927
599	40283	26855
600	40341	26782
601	40436	26733
602	40498	26663
603	40560	26592
604	40628	26526
605	40689	26455
606	40752	26384
607	40810	26312
608	40867	26238
609	40926	26166
610	40983	26092
611	41040	26019
612	41099	25947
613	41161	25876
614	41222	25806
615	41286	25737
616	41345	25665
617	41407	25594
618	41466	25522
619	41524	25450
620	41583	25378
621	41640	25305
622	41701	25234
623	41760	25163
624	41819	25091
625	41879	25020
626	41949	24955
627	42006	24883
628	42064	24810
629	42127	24741
630	42186	24669
631	42243	24597
632	42304	24527
633	42368	24458
634	42429	24388
635	42489	24317
636	42549	24247
637	42609	24176
638	42671	24106
639	42732	24036
640	42788	23964
641	42846	23892
642	42905	23821
643	42960	23748
644	43020	23677
645	43076	23605
646	43135	23534
647	43195	23464
648	43255	23393
649	43316	23324
650	43376	23253
651	43437	23184
652	43496	23113
653	43555	23043
654	43613	22972
655	43673	22901
656	43730	22830
657	43787	22758
658	43851	22691
659	43909	22620
660	43969	22549
661	44027	22479
662	44087	22409
663	44146	22339
664	44205	22268
665	44268	22200
666	44329	22131
667	44390	22062
668	44447	21991
669	44509	21922
670	44569	21853
671	44629	21783
672	44688	21713
673	44747	21643
674	44804	21572
675	44864	21503
676	44922	21432
677	44979	21361
678	45037	21291
679	45094	21221
680	45155	21152
681	45213	21081
682	45271	21011
683	45333	20943
684	45393	20874
685	45453	20805
686	45514	20736
687	45572	20666
688	45669	20614
689	45728	20544
690	45791	20476
691	45860	20411
692	45920	20342
693	45979	20273
694	46038	20203
695	46097	20134
696	46156	20065
697	46215	19995
698	46274	19926
699	46335	19858
700	46395	19789
701	46460	19722
702	46522	19654
703	46585	19587
704	46647	19519
705	46707	19450
706	46767	19381
707	46827	19312
708	46886	19243
709	46948	19176
710	47006	19106
711	47066	19038
712	47124	18968
713	47184	18900
714	47248	18833
715	47305	18763
716	47363	18694
717	47431	18629
718	47491	18560
719	47550	18491
720	47610	18423
721	47672	18355
722	47733	18287
723	47792	18219
724	47848	18149
725	47906	18080
726	47965	18011
727	48025	17943
728	48086	17875
729	48147	17807
730	48207	17739
731	48267	17671
732	48325	17602
733	48385	17534
734	48446	17466
735	48506	17399
736	48563	17329
737	48620	17260
738	48681	17193
739	48741	17125
740	48800	17057
741	48860	16989
742	48919	16920
743	48977	16852
744	49034	16783
745	49093	16715
746	49150	16646
747	49210	16579
748	49274	16512
749	49337	16445
750	49398	16378
751	49459	16311
752	49518	16243
753	49577	16175
754	49640	16108
755	49700	16041
756	49764	15974
757	49823	15906
758	49879	15837
759	49938	15770
760	50000	15703
761	50060	15635
762	50120	15568
763	50182	15501
764	50244	15434
765	50306	15367
766	50366	15300
767	50425	15232
768	50484	15164
769	50543	15097
770	50601	15029
771	50660	14961
772	50718	14894
773	50783	14828
774	50862	14766
775	50930	14701
776	50989	14633
777	51062	14570
778	51124	14503
779	51184	14436
780	51245	14369
781	51302	14301
782	51362	14234
783	51420	14166
784	51479	14099
785	51540	14032
786	51599	13965
787	51658	13898
788	51716	13830
789	51776	13763
790	51838	13696
791	51902	13630
792	51960	13563
793	52020	13496
794	52080	13429
795	52141	13362
796	52198	13295
797	52253	13227
798	52312	13159
799	52373	13093
800	52436	13027
801	52503	12962
802	52565	12895
803	52625	12829
804	52684	12762
805	52745	12695
806	52804	12628
807	52861	12561
808	52921	12494
809	52980	12427
810	53042	12361
811	53101	12294
812	53160	12227
813	53220	12161
814	53285	12095
815	53346	12029
816	53408	11962
817	53472	11897
818	53533	11831
819	53594	11764
820	53653	11697
821	53712	11631
822	53770	11564
823	53827	11497
824	53888	11430
825	53946	11363
826	54006	11297
827	54064	11230
828	54124	11164
829	54183	11097
830	54242	11031
831	54302	10964
832	54361	10898
833	54422	10832
834	54481	10765
835	54540	10699
836	54600	10633
837	54662	10567
838	54721	10500
839	54783	10434
840	54842	10368
841	54901	10302
842	54963	10236
843	55024	10170
844	55083	10104
845	55141	10037
846	55200	9971
847	55260	9905
848	55319	9838
849	55378	9772
850	55439	9706
851	55499	9640
852	55560	9574
